,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
237,2007-11-20,26,98,0.3333333333333333,6,0.4430379746835443,35,43,17,36.36363636363637
238,2007-11-20,20,82,0.2,4,0.3924050632911392,31,52,15,20.0
239,2007-11-20,12,114,0.2222222222222222,6,0.4077669902912621,42,46,28,36.36363636363637
240,2007-11-20,8,112,0.3157894736842105,6,0.5064935064935064,39,45,26,72.72727272727273
241,2007-11-20,7,105,0.38095238095238093,8,0.49333333333333335,37,41,17,80.0
242,2007-11-20,6,107,0.38095238095238093,8,0.46987951807228917,39,40,19,45.45454545454545
243,2007-11-20,1,83,0.0,0,0.4177215189873418,33,39,15,30.0
244,2007-11-21,27,128,0.5416666666666666,13,0.5161290322580645,48,40,30,83.33333333333334
245,2007-11-21,25,101,0.5384615384615384,7,0.5441176470588235,37,34,24,33.33333333333333
246,2007-11-21,24,127,0.4166666666666667,10,0.532608695652174,49,38,33,83.33333333333334
247,2007-11-21,19,93,0.26666666666666666,8,0.39080459770114945,34,45,17,69.23076923076923
248,2007-11-21,18,86,0.3076923076923077,4,0.4567901234567901,37,37,20,11.11111111111111
249,2007-11-21,17,110,0.47058823529411764,8,0.49382716049382713,40,38,27,60.0
250,2007-11-21,16,79,0.3333333333333333,3,0.423728813559322,25,38,16,18.181818181818183
251,2007-11-21,15,89,0.20833333333333334,5,0.4050632911392405,32,51,17,27.27272727272727
252,2007-11-21,13,101,0.5333333333333333,8,0.4714285714285714,33,50,21,60.0
253,2007-11-21,11,94,0.43478260869565216,10,0.4430379746835443,35,46,21,50.0
254,2007-11-21,9,98,0.4444444444444444,8,0.4868421052631579,37,36,29,63.63636363636363
255,2007-11-21,4,111,0.3793103448275862,11,0.4444444444444444,40,40,22,54.54545454545454
256,2007-11-21,2,105,0.3333333333333333,7,0.4810126582278481,38,52,26,90.0
257,2007-11-23,30,115,0.5454545454545454,6,0.5119047619047619,43,48,19,50.0
258,2007-11-23,29,99,0.5714285714285714,8,0.47435897435897434,37,44,28,69.23076923076923
259,2007-11-23,21,93,0.4166666666666667,5,0.4794520547945205,35,39,18,15.384615384615383
260,2007-11-23,27,101,0.125,2,0.4891304347826087,45,48,27,84.61538461538461
261,2007-11-23,25,87,0.25,5,0.4520547945205479,33,38,21,38.46153846153847
262,2007-11-23,24,113,0.23529411764705882,4,0.48863636363636365,43,52,22,84.61538461538461
263,2007-11-23,22,105,0.25,7,0.475,38,52,20,78.57142857142857
264,2007-11-23,16,98,0.375,3,0.5538461538461539,36,35,17,25.0
265,2007-11-23,12,111,0.35714285714285715,5,0.4482758620689655,39,44,13,46.15384615384615
266,2007-11-23,9,83,0.14285714285714285,2,0.4146341463414634,34,36,24,66.66666666666666
267,2007-11-23,8,99,0.21428571428571427,3,0.379746835443038,30,46,21,69.23076923076923
268,2007-11-23,2,107,0.47058823529411764,8,0.5064935064935064,39,42,31,90.9090909090909
269,2007-11-24,23,98,0.45454545454545453,5,0.41975308641975306,34,47,22,25.0
270,2007-11-24,22,120,0.36363636363636365,8,0.56,42,37,24,80.0
271,2007-11-24,20,85,0.25,3,0.39436619718309857,28,52,15,25.0
272,2007-11-24,18,87,0.23076923076923078,3,0.4722222222222222,34,37,16,9.090909090909092
273,2007-11-24,17,97,0.5,2,0.5076923076923077,33,42,23,63.63636363636363
274,2007-11-24,15,124,0.4482758620689655,13,0.5256410256410257,41,41,23,30.76923076923077
275,2007-11-24,13,89,0.2727272727272727,6,0.4,30,45,22,50.0
276,2007-11-24,11,109,0.16666666666666666,3,0.4835164835164835,44,57,20,50.0
277,2007-11-24,6,111,0.43333333333333335,13,0.5180722891566265,43,47,28,53.84615384615385
278,2007-11-24,4,95,0.7272727272727273,8,0.4864864864864865,36,41,23,46.15384615384615
279,2007-11-25,28,93,0.4117647058823529,7,0.43023255813953487,37,45,22,50.0
280,2007-11-25,21,101,0.4,4,0.5256410256410257,41,29,20,14.285714285714285
281,2007-11-25,14,100,0.3157894736842105,6,0.44594594594594594,33,37,19,53.84615384615385
282,2007-11-25,12,106,0.3333333333333333,5,0.43209876543209874,35,42,17,42.85714285714285
283,2007-11-25,9,93,0.46153846153846156,6,0.3953488372093023,34,42,22,61.53846153846154
